conteudo,id_str,alegria,amor,medo,raiva,tristeza,ironia,nulo
"Li comentários de muitos deputados/as usando as hashtags #TodosPelaEducação  e #NaRuaPelaEducação, mas me parece que poucos deles saíram efetivamente de seus gabinetes. A maioria preferiu postar vídeos/fotos da janela de prédios...
#seétodosétodos",1128827193927360512,0,0,0,1,0,1,0
#TodosPelaEducação,1128817913153110021,0,0,0,0,0,0,3
"Aproveitar a postagem pra informar a rádio @RBandeirantes que não é apenas em Brasília que a desordem está estabelecida. Os pseudos ""estudantes"" já começaram a destruir. #Dia30MeuFilhoNaoVai https://t.co/L5BK95pANs",1134131531662921731,0,0,0,2,0,0,0
"@randolfeap Caro senador,  qual o seu papel no senado? Saia do tuwiter e vá  trabalhar, pare de atrapalhar #Dia30EuVouTrabalhar #Dia30MeuFilhoNaoVai",1134125659645730816,0,0,0,1,0,1,0
"Nós estudantes sabemos muito quanto é 7x8 e o que é H20, assim como também sabemos lutar pelo nosso direito de educação. NÃO VAI TER CORTE! 
#todospelaeducacao 
#Balburdia 
#TsunamiDaEducação https://t.co/XG3BU9SjFu",1128818661429600256,0,0,0,1,0,1,0
@CarlosBolsonaro #BrasilNasRuas,1133076097304846336,0,0,0,0,0,0,1
"Educação destrói mitos!!! 
Mito é fantasia e essa fantasia surgiu da cabeça de gente louca. Dom Quixote explica!! 😁✌
#30MpelaEducacao #BrasilPelaEducação #Tsunami30M #ImpeachmentBolsonaro  #NaoAReformaDaPrevidencia 
#ForaGuedes https://t.co/Ongh0RwCyQ",1134215510814601218,1,0,0,0,0,1,0
"Ninguém solta a mão de ninguém
#TsunamiDaEducação #TodosPelaEducação #NaRuaPelaEducação https://t.co/FhfdvuAzzN",1128756134490320897,1,0,0,0,0,0,1
#30M #Dia30VaiSerMaior https://t.co/nJpj9OFr5i,1130807842242519043,0,0,0,0,0,0,1
"@uneoficial #Tsunami13A
#TsunamiDaEducacao",1159901890584502277,0,0,0,0,0,0,1
"Essa história de passeata de estudantes é tudo mentira, manifestantes pró Lula e sinficalistas isso sim. #Dia30EuVouTrabalhar #Marolinha30M https://t.co/TGQSZKu4LN",1134245118163259392,0,0,0,1,0,0,0
"@Estadao @EstadaoPolitica E também contra a deforma da previdência e e por democracia!
#LulaLivre #30MpelaEducacao #BrasilPelaEducação #BolsonaroÉInimigoDoBrasil",1134228830552494081,1,0,0,0,0,0,0
"13 de agosto e o dever de ir às ruas em defesa da única saída: respeito à educação, aos educadores e aos estudantes!
#Tsunami13A  #TsunamiDaEducação https://t.co/ptJsPWC4T6",1160277957534990336,1,0,0,0,0,0,0
https://t.co/mdYyRNRC5H #30MpelaEducacao #Dia30EstáSendoMaior,1134247044615458821,0,0,0,0,0,0,1
@Smith_Hays #BrasilNasRuas,1132781597248372736,0,0,0,0,0,0,1
"@gleisi Não vai ter tsunami nenhum
#Dia30MeuFilhoNaoVai",1134098177865461761,0,0,0,0,0,1,0
"Tem alguma foto de pessoas mostrando o RABO e fumando maconha nas manifestações de ontem?
😂😂😂
#BrasilNasRuas https://t.co/DMxJPs3kIq",1133002145207394304,1,0,0,0,0,1,0
R.I.P @MBLivre  #BrasilNasRuas,1132784210106884097,0,0,0,0,0,0,2
#30MpelaEducacao Rio de Janeiro @MidiaNINJA @J_LIVRES https://t.co/VlkdB7a43N,1134222715307601920,0,0,0,1,0,0,0
isso representa o Brasil mais do que futebol e samba #30MpelaEducação #BrasilPelaEducação https://t.co/NXkqBK9t6p,1134612197294968833,0,0,0,1,0,0,0
"Minha Neta acabou de falar que a professora disse que a manifestação de amanha é porque estão tirando o direito a Educação deles, dos alunos *
#Dia30MeuFilhoNaoVai",1133859591434002434,0,0,0,0,0,0,1
#Dia30EuVouTrabalhar https://t.co/UyfVun71cB https://t.co/MviYPALIBZ,1134299149048930304,0,0,0,0,0,0,1
#tsunami30M #BrasilPelaEducacao #tsunamipelaeducação https://t.co/hi8gWVfX02,1134209933849899009,0,0,0,0,0,0,1
"#ForaAbrahamWeintraub, seu ditadorzinho de merda!! 
#30MpelaEducacao",1134243394736283649,0,0,0,1,0,1,0
Hoje o Povo Soberano fez História. Parabéns a todos os patriotas  brasileiros que mostraram quem são os legítimos donos das ruas.  #BrasilNasRuas,1132790848834473984,1,1,0,0,0,0,0
#TodosPelaEducação,1128838088317444096,0,1,0,0,0,0,0
"O Bolsonaro tenta a todo momento associar a defesa de pautas de educação à esquerda.

Educação é uma pauta de todos. ME ASSUSTA o fato de só a esquerda estar defendendo isso. #TsunamiDaEducação #todospelaeducacao",1128799691704020992,0,0,1,0,1,0,0
"#TodosPelaEducação 
#todospelaeducacao 
#NaRuaPelaEducacao 
#TsunamiDaEducacao 
Lula Livre https://t.co/8mREEG64Ts",1128789973401047041,1,0,0,0,0,0,1
"#tiraamaodomeuif 
💪💪 em IFAM Itacoatiara https://t.co/wxXp1x8W24",1126938807402737664,1,0,0,0,0,0,0
#TsunamiDaEducacao #NaRuaPelaEducacao #JuntosSomosGigantes https://t.co/zO7C3zyWhV,1129065683503988737,0,0,1,0,0,0,1
#balburdia #terrorismosindical https://t.co/8WILYoFWHo,1139605457272745984,0,0,0,0,0,0,1
"Educação é direito público subjetivo. Acesso ao ensino fundamental é obrigatório e gratuito; o não oferecimento do ensino obrigatório pelo Poder Público (federal, estadual, municipal), ou sua oferta irregular, importa responsabilidade da autoridade competente. #TsunamiDaEducação",1128423454120849408,0,0,0,0,0,0,1
"#TodosPelaEducação
#30MPelaEducação
#TsunamiDaEducação
#Dia30GiganteToNessa 
#BrasilPelaEducação",1134119801482338305,0,0,0,0,0,0,1
"@mycelo Kkkkkkkkk
#Marolinha30M https://t.co/1JyMGk7kIU",1134234534373933057,0,0,0,0,0,0,1
"@ptbrasil Um futuro sem bandeiras vermelhas de Coministas/ Socialistas.
Nossa Bandeira é verde Amarela. Somos patriotas.

#Dia30MeuFilhoNaoVai",1133846499786465281,1,0,0,0,0,0,0
"Parece foto que a gente tirava no primeiro período da faculdade de Direito, mas já estamos em pleno 2019 e ainda temos que sair às ruas para defender pautas civilizatórias. 
@anajayme, a companheira de sempre, juntas e shallow now. ❤️
#30M 
#Tsunami30M 
#TsunamiDaEducacao https://t.co/q1h69uVwHu",1134247682665566208,1,1,0,0,0,0,0
"Vamos com tudo Rio de Janeiro, RJ❤️ Candelária vai ferver hoje🥰 #Tsunami13Agosto #tsunamidaeducação #Tsunami13A https://t.co/MX2zS25eCl",1161294928724598785,1,1,0,0,0,0,0
"#TsunamiDaEducacao 
#BolsonaroEnvergonhaOBrasil 
#GreveNacionalDaEducação 
#TiraAMaoDaMinhaFederal 
#NaoAReformaDaPrevidencia 

Pres.: 7×8= 56, Fórmula da água é H2O. 
E qual o limite da sua cara de pau,quando seu trabalho sempre tende a zero? Qual a fórmula da sua ignorância?",1128712337723219969,0,0,0,1,0,1,0
"Educação vai parar! Atenção Bentonianos!
#15M #TodosPelaEducação https://t.co/9ZPcoPKL05",1128432256618508290,0,0,0,1,0,0,0
"Teresina #30MpelaEducacao #BrasilPelaEducação 
📷 Roberta Aline https://t.co/E2v8Y2ux5v",1134160346065887232,0,0,0,0,0,0,1
@MomentsBrasil #Tsunami13A,1161279757616631808,0,0,0,0,0,0,1
"Tiago de Sá, CSE na Volks, explica o motivo de participar de um ato como esse: ""É a unidade da luta entre os metalúrgicos, os trabalhadores contra a Reforma da Previdência e os estudantes que estão passando por cortes. É fundamental enfrentar esse ataque.""
#30MpelaEducação https://t.co/zot9Jd6HDu",1134235908599889920,1,0,0,0,0,0,0
#TodosPelaEducação https://t.co/VoHqatk8Q9,1128820131163975681,0,0,0,0,0,0,1
"A EDUCAÇÃO VAI PARAR!
Dia 15 de maio vamos tomar as ruas em todo o Brasil contra os cortes de Bolsonaro na educação.
#grevenacionaldaeducação #15M #universidadescontrabolsonaro
#tiraamãodaminhaescola #balburdia https://t.co/u7YeNVS0Bn",1126513126285795328,0,0,0,1,0,0,0
"Acho engraçado vcs falam que o PT destruiu o Brasil 

Mas vcs deixaram eles por 12 anos 

Seis gostaram da destruição ou gostou tanto que colocou eles no poder denovo 

#todospelaeducacao",1128800786648117248,0,0,0,1,0,1,0
"Manifestação dos estudantes no município de Simão Dias, em Sergipe #30M #30MpelaEducacao #BrasilpelaEducacao https://t.co/uS7cdYGXdM",1134240547953098752,1,0,0,0,0,0,0
"#30MPelaEducacao 
#O30MFoiGigante 
Protesters take to Brazil's streets – in pictures https://t.co/FUbwjseh5u",1134814388735623168,0,0,0,0,0,0,1
"@criticanac Só maconheiro nessa Unicamp.
#Dia30MeuFilhoNaoVai",1133865246660202499,0,0,0,1,0,0,0
#NordesteComBolsonaro #BrasilNasRuas https://t.co/Ha9GjhJPTn,1132852802772975616,0,1,0,0,0,0,0
@jandira_feghali #ContraAReformaDaPrevidencia,1126912258330759171,0,0,0,1,0,0,0
"@DeputadoFederal O nordeste aguarda sua visita imbecil, militante de prisioneiro, nos nordestinos lhe aguardamos. lava a boca animal energúmeno para fala do povo nordestino !! #lavajato #BrasilNasRuas #LavaToga https://t.co/L5vRYoc4Xq",1133439969635250177,0,0,0,2,0,0,0
Educação não é chocolatinho. #TsunamiDaEducacao #todospelaeducacao #NaRuaPelaEducacao https://t.co/hPAE0lbxkI,1128777999543930880,0,0,0,1,0,1,0
"Paralisação em Iperó contra o desmonte da previdência social . Contra o corte do orçamento na Educação. Hoje só foi o esquenta. Dia 14/06 é GREVE GERAL ! #TsunamiDaEducação #Intersindical #NãoAReformadaPrevidencia
 #todospelaeducação #NaRuaPelaEducacao #15M https://t.co/6HvLK7Y4Bi",1128732346314887168,1,0,0,0,0,0,0
"@thaiscwb @jairbolsonaro @sopoliticaok @leocardoso_ford @RadioLondon5 👏👏👏👏👏👏👏👏👏👏
#GrandeDia 💪
#BrasilNasRuas 🇧🇷",1133075985186852864,0,0,0,0,0,0,1
"Acho que está na hora de @jairbolsonaro colocar outra pessoa no Ministério da Educação. Não vejo @AbrahamWeint como uma pessoa certo para este cargo.

#Abrahamweintraub #TsunamiDaEducacao #NaRuaPelaEducação #TodosPelaEducação https://t.co/LdFlVdcWVq",1128755972040724480,0,0,0,0,0,0,1
"@margobernardpin E passeata de estudante? 
Não é isso que estamos vendo. Discaradamente os políticos esquerdistas estão convocando todos.
#Dia30MeuFilhoNaoVai https://t.co/J0h2L5nc3X",1133858641516408832,0,0,0,1,0,0,0
#BrasilPelaEducacao   São Luis 👇🏼👇🏼 https://t.co/GrsOQVekk9,1134196273073086465,0,0,0,0,0,0,1
"“É contraditório cortar o principal instrumento de investimento do país esperando que a iniciativa privada tome o seu lugar, e que a #ReformaDaPrevidência trará economia de R$ 1 trilhão em 10 anos” #Tsunami13Agosto #Dia13ÉRua #13A #13deAgosto https://t.co/1H3V5Hihjo",1161358641317986306,0,0,0,0,0,1,0
"Que a saúde do povo daqui
É o medo dos homens de lá
Sabedoria do povo daqui
É o medo dos homens de lá
A consciência do povo daqui
É o medo dos homens de lá (...)

#15M 
#TsunamiDaEducacao 
#NaRuaPelaEducação 
#15MGreveGeral https://t.co/UdrWdeWYK4",1128813908033179648,0,0,0,2,0,0,0
"VAMO QUE VAMO BRASIL,
 SENTA O DEDO AIIIIIII!

#AProximaSeraMaior #BrasilNasRuas https://t.co/atAWfQmjaD",1132783005813100545,2,0,0,0,0,0,0
"@emirsader #30M 
#Dia30VaiSerMaior https://t.co/BUnI4C9fHk",1129330107418664960,0,0,0,0,0,0,1
"@Ricamconsult Saúde e Educação gratuitas!! Estado forte?? 😂
#Tsunami13A #Dia13ERua #TsunamiDaEducacao #VazaJato
#MoroProtegeCunha #LulaLivre #DeltanNaCadeia #LULALIVREJA
#IMPEACHMENTDEBOLSONAROJA",1161245378223759360,1,0,0,0,0,2,0
"#TsunamiDaEducação 
#NaRuaPelaEducação https://t.co/h42Izle0v7",1128815319928197121,0,0,0,0,0,0,1
Daqui a pouco #BrasilNasRuas https://t.co/sPBy0UgBST,1132794786623234050,0,0,0,0,0,0,1
"#todospelaeducacao
#TsunamiDaEducação 
#BolsonaroIdiotaEInutil https://t.co/i6UdbQ0KnY",1128888619043893250,0,0,0,0,0,0,1
"Ato em Sorocaba (SP)
#30MpelaEducação #Tsunami30M #BrasilPelaEducacao #TsunamidaEducacao #NaRuaPelaEducacao #TodosPelaEducação https://t.co/80UWYYP9ee",1134173732270821378,0,0,0,0,0,0,1
"#TsunamiDaEducacao

30/05/2019

#EmFavorDaEducação #LivrosSimArmasNão

#NossaArmaÉnossaVoz

#LindaMOURA #LulaLivre #ColetivoGordaSim https://t.co/Vu9RFKKCng",1133432781843894273,0,0,0,0,0,0,1
#TiraAMãodaFederal #TsunamiDaEducacao #NaRuaPelaEducação https://t.co/nwUYxfGXhq,1128775874390708230,0,0,0,0,0,0,2
"@leandroruschel A verdade se espalha. O trabalho aparece. E as pessoas agora não dependem só de uma imprensa mentirosa para se informar. Nós temos que continuar lutando pelo que é certo, mostrando o Brasil de verdade!
#BrasilNasRuas",1132981947456806913,2,0,1,1,0,0,0
"#30M: capixabas vão ocupar novamente as ruas da capital em defesa da educação
https://t.co/GjbCSyo5rB https://t.co/fhZsSzD9nz",1133838397326483456,0,0,0,0,0,0,1
"#Dia30MeuFilhoNaoVai
@augustosnunes @escolasempartid @BlogDoPim @digital_explora @conexaopolitica @EuSouMBC @conserva_gui @gugamoratu @republica_ctba @luciano_hang @CarlaZambelli17 @moura_101 @allantercalivre @AnaPaulaVolei @DaniWineBrasil
Ñ tem doutrinação na escolas né, sei 😤. https://t.co/SA4qaHf57c",1134108816386252800,0,0,0,1,0,0,0
Amanhã tem #TsunamiDaEducação,1128439359462694915,1,0,0,0,0,0,0
"O governo quer balbúrdia ? Vai ter balbúrdia.
#TodosPelaEducação 
#TsunamidaEducação 
#ChupaBolsonaro https://t.co/8GrYwbvKvn",1128803785101512704,0,0,0,0,0,1,0
#Dia30MeuFilhoNaoVai https://t.co/SMePAdGY0K,1133870405582827521,0,0,0,0,0,0,1
@patriciapillar JÁ TÔ!!!! #masp #Tsunami13A,1161339204368052224,0,1,0,0,0,0,0
"Que   sabedoria existe nessa mulher !!!  Deus a abençoe grandemente. Minha melhor amiga,  não  era parente, de 103 anos faleceu ha 20 dias,  muito lúcida. Que saudade. #BrasilNasRuas. https://t.co/7IqTI6g21x",1132838692433928192,1,0,0,0,0,0,0
@Desesquerdizada #Dia30EuVouTrabalhar https://t.co/Z7aq4xJ6YS,1134238141827735555,0,0,0,0,0,0,1
"#TiraAMãoDoMeuIF obg pelos mimos IFSP,  vamos a luta e vamos vencer!!!! https://t.co/ZT97Ryrlz3",1126293390411411456,2,0,0,0,0,0,1
#TsunamiDaEducação,1128393374946537472,0,0,0,0,0,0,1
"Sou professora! 
#TsunamiDaEducação",1128397310055067649,0,0,0,0,0,0,1
"sobem a tag "" #Dia30EuVouTrabalhar "", mas o q estão fazendo no twitter ?",1134170405349089281,0,0,0,0,0,1,0
Esse cartaz 🤧 #TodosPelaEducação https://t.co/3jJ88Z62IO,1128822274457579521,0,0,0,0,0,0,2
"#30MpelaEducacao Senador Randolfe Rodrigues da Rede Sustentabilidade: as universidades e estudantes não  se calaram para a ditadura militar,  não se calara para este ministro fanfarrão. https://t.co/WKTD5nNj6X",1134243038073671681,0,0,0,1,0,0,0
"Um único vídeo sendo compartilhado por toda a direitalha como prova de ódio e violência nos protestos a favor da educação.
#30MpelaEducacao https://t.co/1NaYpc8J5Q",1134219896252960771,0,0,0,2,0,0,0
"#PymesUnidas #FelizMartes #13deAgosto @Bestticher desde #Madrid es una empresa de educación basada en una metodología innovadora que trabaja para que los conocimientos sean prácticos, concisos y aplicables a la vida real. https://t.co/MViMrUkhl9",1161191198205325313,0,0,0,0,0,0,1
"Quarta é dia de resistência: dia de luta contra os cortes na educação promovidos pelo governo Bolsonaro! Vamos nos concentrar às 09h no Largo do Rosário, em Campinas. Em São Paulo, o ato será ás 14h, em frente ao MASP. No próximo dia 15, a aula será na rua! #15M #TiraAMãoDoMeuIF https://t.co/RBOnugOHl0",1126945935324581890,1,0,0,2,0,0,0
"O bolsonaro vai se foder

O BRASILEIRO não precisa de você.

#30MpelaEducacao 
#Tsunami30M 
#30M",1134221800060194817,0,0,0,1,0,0,0
HAHAHAHAHHA ESSE POVO NÃO CANSA DE PASSAR VERGONHA  #Dia30MeuFilhoNaoVai,1133845872704466944,0,0,0,1,0,1,0
"Vou ficar aqui dando RT em um monte de coisa mesmoooo, pq o presidente de vcs não me representa. E aos incomodados, favor se retirar
Pq pra mim nada justifica o que ele ta fzd com o nosso país e principalmente com a nossa educação.
É isso
#TodosPelaEducação ❤❤❤❤",1128832369463578624,1,1,0,2,1,0,0
"#TodosPelaEducaçao 
#TsunamiDaEducaçao
#NaRuaPelaEducaçao

Lula Livre https://t.co/HcKZfMNvxa",1128774986167214082,0,0,0,0,0,1,0
@rvianna #30MpelaEducacao #BrasilPelaEducacao #TsunamiDaEducação,1134257143065055232,0,0,0,1,0,0,0
#Tsunami13A começa com intensa mobilização em todo País. Confira vídeos e imagens https://t.co/PgNESwlbhg,1161318184689065984,0,0,0,0,0,0,1
#TsunamiDaEducação https://t.co/er4K3M9bVc,1128426404872359936,0,0,0,0,0,0,1
"@PTnaCamara Vocês foram vira-lata de republiquetas de quinta e ditaduras e roubaram bilhões dos trabalhadores brasileiros, deixando os serviços públicos em destroços e mantendo o sistema educacional brasileiros entre os piores do mundo durante todos seus desgovernos.#Dia30MeuFilhoNaoVai",1133878627135873024,0,0,0,2,0,0,0
"#TsunamiDaEducação amanhã é na rua lutando pelo que é nosso e mostrando que educação é revolução, não balbúrdia!",1128405899503075329,1,0,0,0,0,0,0
#tsunamidaeducação 5 horas em galera,1128357369682059265,0,0,0,0,0,0,1
Falou em ONG leia milhões e bilhões! Ninguém quer parar de sangrar os cofres essa é a verdade! #PL672Nao #Dia30MeuFilhoNaoVai https://t.co/0s5BvEP10Y,1133839362708443141,0,0,0,1,0,0,0
#PLN4APROVAJA #Dia30EuVouTrabalhar # https://t.co/KWGR9C7Ixg,1134252916150284295,0,0,0,0,0,0,1
"Humberto Carrão também se juntou à nossa luta e convoca todos os brasileiros a se mobilizarem pela Educação e pela Democracia no dia 13 de agosto.O Tsunami da Educação vem aí! #tsunamidaeducacao #tsunami13a #13a

Grave um vídeo você também! E desafie mais 3 pessoas a gravarem 📹 https://t.co/bHSkaTM4Mi",1157064334238978049,1,0,0,0,0,0,0
"@MrcioDavid6 @MarvadoGil @MaryNorminha @maryritalopes @Marcos_11_66 @Massachusetss1 @Mateusbatera01 @matte_recomeco @maugustoadv @MAURI11633033 @gianini_prestes SDV

#BrasilNasRuas",1133709422470074368,0,0,1,0,0,0,0
#15M #TSUNAMIDAEDUCAÇÃO https://t.co/sLIIOqHgWf,1128436758486581249,0,0,0,1,0,0,1
@marcelloneves72 #Dia30MeuFilhoNaoVai,1133830284825247744,0,0,0,0,0,0,1
Respeito recíproco! #BrasilNasRuas https://t.co/oTgiZH7SEG,1133016714994700290,0,0,0,0,0,0,2
"@MarceloFreixo @Douglas271971 @jairbolsonaro Eu concordo com o pedido. E uma vergonha a balbúrdia que acontece nas universidades. 
#Dia30MeuFilhoNaoVai  PSOL, PT , PCdoB e as porcaria toda da esquerda, são os responsáveis por isso. Virou ponto de drogas, prostituição e militância",1133832052393095168,0,0,0,1,0,0,0
Nunca imaginei viver em um tempo que o Ministério da Educação é contra a educação. #30MpelaEducacao,1134232277972586496,0,0,0,0,1,2,0
Vamos a luta #Tsunami13A em todo o Brasil: veja as cidades confirmadas https://t.co/VHahE7t8N1 via @uneoficial,1161112776204529664,0,0,0,0,0,0,1
"@CelioMouraTO @LulaMarques #30MpelaEducacao 
#LulaLivreQuintaSDV",1134220522290601985,1,0,0,0,0,0,0
"#Tsunami13A 
#LulaLivre https://t.co/kDAPtyqvK8",1161226543554801665,0,0,0,0,0,0,1
@PresidenBr #BrasilNasRuas,1132792973442330625,0,0,1,0,0,0,0
#BrasilNasRuas 👀! https://t.co/Oyfb0ik1wh,1132839019358937089,0,0,0,0,0,0,1
#BrasilNasRuas https://t.co/zI6RNyAHhO,1132956843112845314,0,0,0,0,0,0,1
